昵称,点赞数,IP属地,评论
jygxh1206,3,浙江,乌克兰当初放弃核武，五个常任都签字的！
清新小猫pm,17,江苏,章思远是干嘛的？
勇往直前的天空t9,3,北京,乌克兰弃核时与美、英、俄签署的布达佩斯备忘录还有效？
大王50943965,3,陕西,坏
聪慧晚风Z7g0,24,北京,俄罗斯是什么？
银色星雨366,3,重庆,这个确实[泪奔]无耻了
在细雨中呼喊,6,陕西,我是来看评论的，祖国大有希望！
小宝4857,3,陕西,这种媒体和媒体人，真是耻辱
生活还是活成了苟且,4,广东,简直搞笑
乐天派西柚CJ,13,上海,苏联入侵波兰，捷克，芬兰，拉脱维亚，立陶宛，爱沙尼亚，阿富汗都是美国拱的火？
股海茶客,4,浙江,俄罗斯发动战争让美国背锅，美国好可怜
正善看天下,6,陕西,看标题感觉俄罗斯是美的铁杆小弟。[偷笑]
乐天好世界,3,广东,做人不能没有人性[发怒]
骑着马户看唱本,3,陕西,正义属于乌克兰
最爱云中观星,3,浙江,主权国家是不是应该有领土不被侵犯的权利？
Eogksalsrnr130428,3,韩国,天地之间自有一杆秤，那秤砣是乌克兰的老百姓。
匹夫读书,5,山东,美帝要是不说俄罗斯计划攻打乌克兰，俄罗斯也不会进攻乌克兰。俄罗斯是签了契约的[赞][赞][赞]
罗翔94,11,重庆,这才是真正的带节奏
老Y73,4,上海,人民的眼睛是雪亮的
jygxh1206,3,浙江,乌克兰当初放弃核武，五个常任都签字的！
清新小猫pm,17,江苏,章思远是干嘛的？
勇往直前的天空t9,3,北京,乌克兰弃核时与美、英、俄签署的布达佩斯备忘录还有效？
宇愿杂谈,5,黑龙江,美国还没开始支援乌克兰呢 只是说俄罗斯有可能进攻乌克兰 拉夫罗夫矢口否认 然后俄罗斯就动手了
聪慧晚风Z7g0,24,北京,俄罗斯是什么？
银色星雨366,3,重庆,这个确实[泪奔]无耻了
在细雨中呼喊,6,陕西,我是来看评论的，祖国大有希望！
小宝4857,3,陕西,这种媒体和媒体人，真是耻辱
生活还是活成了苟且,4,广东,简直搞笑
乐天派西柚CJ,13,上海,苏联入侵波兰，捷克，芬兰，拉脱维亚，立陶宛，爱沙尼亚，阿富汗都是美国拱的火？
股海茶客,4,浙江,俄罗斯发动战争让美国背锅，美国好可怜
正善看天下,6,陕西,看标题感觉俄罗斯是美的铁杆小弟。[偷笑]
乐天好世界,3,广东,做人不能没有人性[发怒]
骑着马户看唱本,3,陕西,正义属于乌克兰
最爱云中观星,3,浙江,主权国家是不是应该有领土不被侵犯的权利？
Eogksalsrnr130428,3,韩国,天地之间自有一杆秤，那秤砣是乌克兰的老百姓。
匹夫读书,5,山东,美帝要是不说俄罗斯计划攻打乌克兰，俄罗斯也不会进攻乌克兰。俄罗斯是签了契约的[赞][赞][赞]
罗翔94,11,重庆,这才是真正的带节奏
老Y73,4,上海,人民的眼睛是雪亮的
jygxh1206,3,浙江,乌克兰当初放弃核武，五个常任都签字的！
清新小猫pm,17,江苏,章思远是干嘛的？
勇往直前的天空t9,3,北京,乌克兰弃核时与美、英、俄签署的布达佩斯备忘录还有效？
宇愿杂谈,5,黑龙江,美国还没开始支援乌克兰呢 只是说俄罗斯有可能进攻乌克兰 拉夫罗夫矢口否认 然后俄罗斯就动手了
大隽哥,23,黑龙江,俄罗斯才是
银色星雨366,3,重庆,这个确实[泪奔]无耻了
在细雨中呼喊,6,陕西,我是来看评论的，祖国大有希望！
小宝4857,3,陕西,这种媒体和媒体人，真是耻辱
生活还是活成了苟且,4,广东,简直搞笑
乐天派西柚CJ,13,上海,苏联入侵波兰，捷克，芬兰，拉脱维亚，立陶宛，爱沙尼亚，阿富汗都是美国拱的火？
股海茶客,4,浙江,俄罗斯发动战争让美国背锅，美国好可怜
正善看天下,6,陕西,看标题感觉俄罗斯是美的铁杆小弟。[偷笑]
乐天好世界,3,广东,做人不能没有人性[发怒]
骑着马户看唱本,3,陕西,正义属于乌克兰
最爱云中观星,3,浙江,主权国家是不是应该有领土不被侵犯的权利？
Eogksalsrnr130428,3,韩国,天地之间自有一杆秤，那秤砣是乌克兰的老百姓。
匹夫读书,5,山东,美帝要是不说俄罗斯计划攻打乌克兰，俄罗斯也不会进攻乌克兰。俄罗斯是签了契约的[赞][赞][赞]
罗翔94,11,重庆,这才是真正的带节奏
老Y73,4,上海,人民的眼睛是雪亮的
jygxh1206,3,浙江,乌克兰当初放弃核武，五个常任都签字的！
清新小猫pm,17,江苏,章思远是干嘛的？
勇往直前的天空t9,3,北京,乌克兰弃核时与美、英、俄签署的布达佩斯备忘录还有效？
宇愿杂谈,5,黑龙江,美国还没开始支援乌克兰呢 只是说俄罗斯有可能进攻乌克兰 拉夫罗夫矢口否认 然后俄罗斯就动手了
大隽哥,23,黑龙江,俄罗斯才是
端庄豆花Xx2,4,北京,被俄罗斯打的起不来了
在细雨中呼喊,6,陕西,我是来看评论的，祖国大有希望！
小宝4857,3,陕西,这种媒体和媒体人，真是耻辱
生活还是活成了苟且,4,广东,简直搞笑
乐天派西柚CJ,13,上海,苏联入侵波兰，捷克，芬兰，拉脱维亚，立陶宛，爱沙尼亚，阿富汗都是美国拱的火？
股海茶客,4,浙江,俄罗斯发动战争让美国背锅，美国好可怜
正善看天下,6,陕西,看标题感觉俄罗斯是美的铁杆小弟。[偷笑]
乐天好世界,3,广东,做人不能没有人性[发怒]
骑着马户看唱本,3,陕西,正义属于乌克兰
最爱云中观星,3,浙江,主权国家是不是应该有领土不被侵犯的权利？
Eogksalsrnr130428,3,韩国,天地之间自有一杆秤，那秤砣是乌克兰的老百姓。
匹夫读书,5,山东,美帝要是不说俄罗斯计划攻打乌克兰，俄罗斯也不会进攻乌克兰。俄罗斯是签了契约的[赞][赞][赞]
罗翔94,11,重庆,这才是真正的带节奏
老Y73,4,上海,人民的眼睛是雪亮的
jygxh1206,3,浙江,乌克兰当初放弃核武，五个常任都签字的！
清新小猫pm,17,江苏,章思远是干嘛的？
勇往直前的天空t9,3,北京,乌克兰弃核时与美、英、俄签署的布达佩斯备忘录还有效？
宇愿杂谈,5,黑龙江,美国还没开始支援乌克兰呢 只是说俄罗斯有可能进攻乌克兰 拉夫罗夫矢口否认 然后俄罗斯就动手了
大隽哥,23,黑龙江,俄罗斯才是
端庄豆花Xx2,4,北京,被俄罗斯打的起不来了
用户7398447119229,2,天津,🇺🇦🇺🇦
小宝4857,3,陕西,这种媒体和媒体人，真是耻辱
生活还是活成了苟且,4,广东,简直搞笑
乐天派西柚CJ,13,上海,苏联入侵波兰，捷克，芬兰，拉脱维亚，立陶宛，爱沙尼亚，阿富汗都是美国拱的火？
股海茶客,4,浙江,俄罗斯发动战争让美国背锅，美国好可怜
正善看天下,6,陕西,看标题感觉俄罗斯是美的铁杆小弟。[偷笑]
乐天好世界,3,广东,做人不能没有人性[发怒]
骑着马户看唱本,3,陕西,正义属于乌克兰
最爱云中观星,3,浙江,主权国家是不是应该有领土不被侵犯的权利？
Eogksalsrnr130428,3,韩国,天地之间自有一杆秤，那秤砣是乌克兰的老百姓。
匹夫读书,5,山东,美帝要是不说俄罗斯计划攻打乌克兰，俄罗斯也不会进攻乌克兰。俄罗斯是签了契约的[赞][赞][赞]
罗翔94,11,重庆,这才是真正的带节奏
老Y73,4,上海,人民的眼睛是雪亮的
jygxh1206,3,浙江,乌克兰当初放弃核武，五个常任都签字的！
清新小猫pm,17,江苏,章思远是干嘛的？
勇往直前的天空t9,3,北京,乌克兰弃核时与美、英、俄签署的布达佩斯备忘录还有效？
宇愿杂谈,5,黑龙江,美国还没开始支援乌克兰呢 只是说俄罗斯有可能进攻乌克兰 拉夫罗夫矢口否认 然后俄罗斯就动手了
大隽哥,23,黑龙江,俄罗斯才是
端庄豆花Xx2,4,北京,被俄罗斯打的起不来了
用户7398447119229,2,天津,🇺🇦🇺🇦
顶级橘子qt,4,河南,一部分醒悟的老百姓不信戈培尔那一套了！
生活还是活成了苟且,4,广东,简直搞笑
乐天派西柚CJ,13,上海,苏联入侵波兰，捷克，芬兰，拉脱维亚，立陶宛，爱沙尼亚，阿富汗都是美国拱的火？
股海茶客,4,浙江,俄罗斯发动战争让美国背锅，美国好可怜
正善看天下,6,陕西,看标题感觉俄罗斯是美的铁杆小弟。[偷笑]
乐天好世界,3,广东,做人不能没有人性[发怒]
骑着马户看唱本,3,陕西,正义属于乌克兰
最爱云中观星,3,浙江,主权国家是不是应该有领土不被侵犯的权利？
Eogksalsrnr130428,3,韩国,天地之间自有一杆秤，那秤砣是乌克兰的老百姓。
匹夫读书,5,山东,美帝要是不说俄罗斯计划攻打乌克兰，俄罗斯也不会进攻乌克兰。俄罗斯是签了契约的[赞][赞][赞]
罗翔94,11,重庆,这才是真正的带节奏
老Y73,4,上海,人民的眼睛是雪亮的
jygxh1206,3,浙江,乌克兰当初放弃核武，五个常任都签字的！
清新小猫pm,17,江苏,章思远是干嘛的？
勇往直前的天空t9,3,北京,乌克兰弃核时与美、英、俄签署的布达佩斯备忘录还有效？
宇愿杂谈,5,黑龙江,美国还没开始支援乌克兰呢 只是说俄罗斯有可能进攻乌克兰 拉夫罗夫矢口否认 然后俄罗斯就动手了
大隽哥,23,黑龙江,俄罗斯才是
端庄豆花Xx2,4,北京,被俄罗斯打的起不来了
用户7398447119229,2,天津,🇺🇦🇺🇦
顶级橘子qt,4,河南,一部分醒悟的老百姓不信戈培尔那一套了！
君子不留名片,9,河北,不干涉他国内政，包括美国的政策
乐天派西柚CJ,13,上海,苏联入侵波兰，捷克，芬兰，拉脱维亚，立陶宛，爱沙尼亚，阿富汗都是美国拱的火？
股海茶客,4,浙江,俄罗斯发动战争让美国背锅，美国好可怜
正善看天下,6,陕西,看标题感觉俄罗斯是美的铁杆小弟。[偷笑]
乐天好世界,3,广东,做人不能没有人性[发怒]
骑着马户看唱本,3,陕西,正义属于乌克兰
最爱云中观星,3,浙江,主权国家是不是应该有领土不被侵犯的权利？
Eogksalsrnr130428,3,韩国,天地之间自有一杆秤，那秤砣是乌克兰的老百姓。
匹夫读书,5,山东,美帝要是不说俄罗斯计划攻打乌克兰，俄罗斯也不会进攻乌克兰。俄罗斯是签了契约的[赞][赞][赞]
罗翔94,11,重庆,这才是真正的带节奏
老Y73,4,上海,人民的眼睛是雪亮的
jygxh1206,3,浙江,乌克兰当初放弃核武，五个常任都签字的！
清新小猫pm,17,江苏,章思远是干嘛的？
勇往直前的天空t9,3,北京,乌克兰弃核时与美、英、俄签署的布达佩斯备忘录还有效？
宇愿杂谈,5,黑龙江,美国还没开始支援乌克兰呢 只是说俄罗斯有可能进攻乌克兰 拉夫罗夫矢口否认 然后俄罗斯就动手了
大隽哥,23,黑龙江,俄罗斯才是
端庄豆花Xx2,4,北京,被俄罗斯打的起不来了
用户7398447119229,2,天津,🇺🇦🇺🇦
顶级橘子qt,4,河南,一部分醒悟的老百姓不信戈培尔那一套了！
君子不留名片,9,河北,不干涉他国内政，包括美国的政策
自强不息雪碧EVE,7,上海,那为啥当时俄罗斯也好几次要求加入北约啊。
股海茶客,4,浙江,俄罗斯发动战争让美国背锅，美国好可怜
正善看天下,6,陕西,看标题感觉俄罗斯是美的铁杆小弟。[偷笑]
乐天好世界,3,广东,做人不能没有人性[发怒]
骑着马户看唱本,3,陕西,正义属于乌克兰
最爱云中观星,3,浙江,主权国家是不是应该有领土不被侵犯的权利？
Eogksalsrnr130428,3,韩国,天地之间自有一杆秤，那秤砣是乌克兰的老百姓。
匹夫读书,5,山东,美帝要是不说俄罗斯计划攻打乌克兰，俄罗斯也不会进攻乌克兰。俄罗斯是签了契约的[赞][赞][赞]
罗翔94,11,重庆,这才是真正的带节奏
老Y73,4,上海,人民的眼睛是雪亮的
jygxh1206,3,浙江,乌克兰当初放弃核武，五个常任都签字的！
清新小猫pm,17,江苏,章思远是干嘛的？
勇往直前的天空t9,3,北京,乌克兰弃核时与美、英、俄签署的布达佩斯备忘录还有效？
宇愿杂谈,5,黑龙江,美国还没开始支援乌克兰呢 只是说俄罗斯有可能进攻乌克兰 拉夫罗夫矢口否认 然后俄罗斯就动手了
大隽哥,23,黑龙江,俄罗斯才是
端庄豆花Xx2,4,北京,被俄罗斯打的起不来了
用户7398447119229,2,天津,🇺🇦🇺🇦
顶级橘子qt,4,河南,一部分醒悟的老百姓不信戈培尔那一套了！
君子不留名片,9,河北,不干涉他国内政，包括美国的政策
自强不息雪碧EVE,7,上海,那为啥当时俄罗斯也好几次要求加入北约啊。
用户5272316670066,3,浙江,媒体不能没有良心
正善看天下,6,陕西,看标题感觉俄罗斯是美的铁杆小弟。[偷笑]
乐天好世界,3,广东,做人不能没有人性[发怒]
骑着马户看唱本,3,陕西,正义属于乌克兰
最爱云中观星,3,浙江,主权国家是不是应该有领土不被侵犯的权利？
Eogksalsrnr130428,3,韩国,天地之间自有一杆秤，那秤砣是乌克兰的老百姓。
匹夫读书,5,山东,美帝要是不说俄罗斯计划攻打乌克兰，俄罗斯也不会进攻乌克兰。俄罗斯是签了契约的[赞][赞][赞]
罗翔94,11,重庆,这才是真正的带节奏
老Y73,4,上海,人民的眼睛是雪亮的
jygxh1206,3,浙江,乌克兰当初放弃核武，五个常任都签字的！
清新小猫pm,17,江苏,章思远是干嘛的？
勇往直前的天空t9,3,北京,乌克兰弃核时与美、英、俄签署的布达佩斯备忘录还有效？
宇愿杂谈,5,黑龙江,美国还没开始支援乌克兰呢 只是说俄罗斯有可能进攻乌克兰 拉夫罗夫矢口否认 然后俄罗斯就动手了
大隽哥,23,黑龙江,俄罗斯才是
端庄豆花Xx2,4,北京,被俄罗斯打的起不来了
用户7398447119229,2,天津,🇺🇦🇺🇦
顶级橘子qt,4,河南,一部分醒悟的老百姓不信戈培尔那一套了！
君子不留名片,9,河北,不干涉他国内政，包括美国的政策
自强不息雪碧EVE,7,上海,那为啥当时俄罗斯也好几次要求加入北约啊。
用户5272316670066,3,浙江,媒体不能没有良心
Feego1109,3,山东,乌克兰加油
乐天好世界,3,广东,做人不能没有人性[发怒]
骑着马户看唱本,3,陕西,正义属于乌克兰
最爱云中观星,3,浙江,主权国家是不是应该有领土不被侵犯的权利？
Eogksalsrnr130428,3,韩国,天地之间自有一杆秤，那秤砣是乌克兰的老百姓。
匹夫读书,5,山东,美帝要是不说俄罗斯计划攻打乌克兰，俄罗斯也不会进攻乌克兰。俄罗斯是签了契约的[赞][赞][赞]
罗翔94,11,重庆,这才是真正的带节奏
老Y73,4,上海,人民的眼睛是雪亮的
jygxh1206,3,浙江,乌克兰当初放弃核武，五个常任都签字的！
清新小猫pm,17,江苏,章思远是干嘛的？
勇往直前的天空t9,3,北京,乌克兰弃核时与美、英、俄签署的布达佩斯备忘录还有效？
宇愿杂谈,5,黑龙江,美国还没开始支援乌克兰呢 只是说俄罗斯有可能进攻乌克兰 拉夫罗夫矢口否认 然后俄罗斯就动手了
大隽哥,23,黑龙江,俄罗斯才是
端庄豆花Xx2,4,北京,被俄罗斯打的起不来了
用户7398447119229,2,天津,🇺🇦🇺🇦
顶级橘子qt,4,河南,一部分醒悟的老百姓不信戈培尔那一套了！
君子不留名片,9,河北,不干涉他国内政，包括美国的政策
自强不息雪碧EVE,7,上海,那为啥当时俄罗斯也好几次要求加入北约啊。
用户5272316670066,3,浙江,媒体不能没有良心
Feego1109,3,山东,乌克兰加油
清风霁月SC,12,山西,[吐][吐][吐][吐][吐]
骑着马户看唱本,3,陕西,正义属于乌克兰
最爱云中观星,3,浙江,主权国家是不是应该有领土不被侵犯的权利？
